i,type,db,fe,scaler,result,acc,f1,model,file,index
52,a_posteriori,prote,pca,standard_scaling,0.4861111111111111,0.1875,0.12499999999999999,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 150, 'learning_rate_init': 1e-07, 'solver': 'adam'}",a_posteriori_prote_pca_standard_scaling_1.csv,1
53,a_posteriori,prote,pca,standard_scaling,0.5208333333333333,0.3125,0.24542124542124544,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 32, 8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_standard_scaling_2.csv,2
54,a_posteriori,prote,pca,unscaled,0.5138888888888888,0.3125,0.24542124542124544,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_unscaled_0.csv,0
55,a_posteriori,prote,pca,unscaled,0.5451388888888888,0.1875,0.15384615384615383,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(8, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_unscaled_1.csv,1
56,a_posteriori,prote,pca,unscaled,0.5451388888888888,0.0625,0.05128205128205127,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_unscaled_2.csv,2
57,a_posteriori,prote,pca,yeo_johnson_transformation,0.5486111111111112,0.4375,0.3333333333333333,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_yeo_johnson_transformation_0.csv,0
58,a_posteriori,prote,pca,yeo_johnson_transformation,0.5694444444444444,0.1875,0.1818181818181818,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_yeo_johnson_transformation_1.csv,1
59,a_posteriori,prote,pca,yeo_johnson_transformation,0.5173611111111112,0.25,0.21645021645021645,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_yeo_johnson_transformation_2.csv,2
60,a_posteriori,prote,rfe,min_max_scaling,0.5833333333333334,0.3125,0.3055555555555555,"RandomForest | {'criterion': 'gini', 'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 3}",a_posteriori_prote_rfe_min_max_scaling_0.csv,0
61,a_posteriori,prote,rfe,min_max_scaling,0.6388888888888888,0.5,0.51010101010101,"SVM | {'C': 0.1, 'kernel': 'linear'}",a_posteriori_prote_rfe_min_max_scaling_1.csv,1
